" Tag 1 "," Tag 2 " , Similarity
"dystopia","see also:Zathura",0.006315201482415479
"dystopia","assasination plot",0.007501370461014641
"see also:Zathura","assasination plot",0.0012703799012293707
"dystopia","plucky crew",0.08353574206358236
"dystopia","visually appealing",0.26647772592587093
"dystopia","writers at work",0.006832515033591659
"denzel's fine behind","noir thriller",0.23025850929940456
"dystopia","hilarious",0.14135345625344836
"dystopia","Futuristmovies.com",0.14135345625344836
"dystopia","On TV all the time",0.14135345625344836
"dystopia","dystopian",0.07994511256220323
"dystopia","action groovy",0.14135345625344836
"dystopia","Marco Brambilla",0.14135345625344836
"My movies","funny",0.31971209988380234
"My movies","Children",0.09865189836390527
"My movies","DEMONIC POSSESSION",3.8762790737383415
"My movies","cult film",4.516869148383409
"de-genderization","ignorance",3.6976099611847905E-4
"2","coup",0.27031007207210955
"G","R",0.0011396718439493354
"Michael Byrne","Bernard Hill",0.004955122365091824
"M","Q",0.04574495130179249
"SUICIDE","affectionate",8.748905547442774E-4
"R","love affair",0.01643560950727159
"Decovny","puns",0.36477864056412496
"R","Alan Ball",1.7181490126881973
"R","Takeshi Kitano",0.3662040962227032
"pedophile","wartime",8.725141447196897E-4
"f","g",0.7765772130918976
"f","d",1.1728521367989186
"f","e",0.5864260683994593
"f","b",0.5864260683994593
"f","c",0.5864260683994593
"f","a",1.1728521367989186
"f","h",0.5864260683994593
"f","t",0.5864260683994593
"f","s",0.5864260683994593
"g","d",1.1728521367989186
"g","e",0.5864260683994593
"g","b",0.5864260683994593
"g","c",0.5864260683994593
"g","a",1.1728521367989186
"g","h",0.5864260683994593
"g","t",0.5864260683994593
"g","s",0.5864260683994593
"d","e",0.5864260683994593
"d","b",0.5864260683994593
"d","c",0.5864260683994593
"d","a",1.1728521367989186
"d","h",0.5864260683994593
"d","t",0.5864260683994593
"d","s",0.5864260683994593
"e","b",0.29321303419972966
"e","c",0.29321303419972966
"e","a",0.5864260683994593
"e","h",0.29321303419972966
"e","t",0.29321303419972966
"e","s",0.29321303419972966
"b","c",0.29321303419972966
"b","a",0.5864260683994593
"b","h",0.29321303419972966
"b","t",0.29321303419972966
"b","s",0.29321303419972966
"c","a",0.5864260683994593
"c","h",0.29321303419972966
"c","t",0.29321303419972966
"c","s",0.29321303419972966
"wartime","crime",0.36477864056412496
"quick cuts","illusionism",0.004102475016281482
"transsexuals","guilt",3.800366713839885E-4
"magical aging/immortality","adapted from:game",0.0013028091511347627
"affectionate","BUILDING SELF-ESTEEM",0.03539429022643771
"great cast excellent","Great Adaptations",0.055706570250973114
"adapted from:game"," ",0.0034766630738422848
"guilt","memory",0.17851484105136767
"guilt","psychology",0.17851484105136767
" ","chase in airport cargo handling facility",7.313533024677197E-4
"07.05.06","16.01.06",0.020979655259508078
"07.05.06","26.02.06",0.021519944413895153
"07.05.06","01.02.05",0.02283958694807764
"thought-provoking","Complex",0.18219921808513267
"07.05.06","29.03.06",0.010759972206947577
"thought-provoking","chick flick",0.054571308152348535
" ","I have found the video posted into this page: http://www.tu.tv/videos/el-hombre-que-plantaba-arboles",0.27031007207210955
"anti-war commentary","could have been better",0.008571065849385861
"special police forces","brazil",0.33285676595884867
"Roald Dahl","space",0.027954069778348557
"bullying","hormonal",0.0020206920074207855
"Spielberg","Music",0.07994511256220323
"Spielberg","Seen 2006",1.0129276308087583
"Charles Dickens","Biblical",0.044423212710721374
"Charles Dickens","World War I",0.019415709585551062
"social message","smart kids",0.08032701682016671
"social message","fable",0.09631782434607489
"volleyball","fear of commitment",4.4265769121680824E-4
"Biblical","Jesus",0.34657359027997264
"visually appealing","shakespeare",0.3364523462915702
"Robert Ludlum","assassin",0.22236305999681275
"unintentional comedy","MST3K",8.560264653985081
"plot:romance during porno shoot","movie within a movie",0.0011691340917235015
"muse","movie theatre",0.0017074345588270398
"movie theatre","butchery",0.0056954588268119995
"Robert Ludlum","assassin-in-training (scene)",0.2986265782046758
"Robert Ludlum","espionage",0.2986265782046758
"Robert Ludlum","Jean Reno",0.1831020481113516
"space","spain",0.002130039771884214
"space","WWII",0.034270683608890885
"space","voyeurism",0.009268606062486128
"space","Coen Brothers",0.013372817632682853
"space","Firefly",0.27465307216702745
"space","Tom Hanks",0.3276959195249285
"space","aliens",0.16057620877200915
"space","SF",2.5744806577749357
"space","slasher",2.4246994985359254
"space","adventure",0.3678109698793973
"space","time travel",0.1564609338840251
"good sci-fi flick","Firefly",0.21576155433883565
"good sci-fi flick","action",0.21576155433883565
"Amazing Cinematography","Great Adaptations",0.14304131316371785
"Amazing Cinematography","WWII",0.3290913929336232
"BUILDING SELF-ESTEEM","KIDNAPPING",7.02553858785843E-4
"KIDNAPPING","MUTANTS",0.0021352236560712784
"scaring greatSoundtrack davidLynch angeloBadalamenti thriller","sad",0.08664339756999316
