" Tag 1 "," Tag 2 " , Similarity
"vertriloquism","Charles Dickens" , NaN
"vertriloquism","Hearst" , NaN
"vertriloquism","screwball" , NaN
"vertriloquism","space" , NaN
"vertriloquism","teachers" , NaN
"vertriloquism","Mexico" , NaN
"vertriloquism","World War I" , NaN
"vertriloquism","orphans" , NaN
"vertriloquism","freaks" , NaN
"vertriloquism","road trip" , NaN
"vertriloquism","voyeurism" , NaN
"vertriloquism","dance" , NaN
"vertriloquism","prom" , NaN
"vertriloquism","Queen Victoria" , NaN
"vertriloquism","Academy award (Best Supporting Actress)" , NaN
"vertriloquism","Coen Brothers" , NaN
"vertriloquism","Firefly" , NaN
"vertriloquism","singers" , NaN
"vertriloquism","wedding" , NaN
"vertriloquism","prequel" , NaN
"vertriloquism","Magic" , NaN
"vertriloquism","AS Byatt" , NaN
"vertriloquism","Watergate" , NaN
"vertriloquism","dance marathon" , NaN
"vertriloquism","crime" , NaN
"vertriloquism","spying" , NaN
"vertriloquism","Gambling" , NaN
"vertriloquism","Captain Kirk" , NaN
"vertriloquism","pageant" , NaN
"vertriloquism","zither" , NaN
"vertriloquism","scandal" , NaN
"vertriloquism","aviation" , NaN
"vertriloquism","dating" , NaN
"vertriloquism","biking" , NaN
"vertriloquism","Day and Hudson" , NaN
"vertriloquism","music" , NaN
"vertriloquism","doctors" , NaN
"vertriloquism","vampires" , NaN
"vertriloquism","Graham Greene" , NaN
"vertriloquism","generation X" , NaN
"vertriloquism","mermaid" , NaN
"vertriloquism","Hal" , NaN
"vertriloquism","Mafia" , NaN
"vertriloquism","abortion" , NaN
"vertriloquism","submarine" , NaN
"vertriloquism","Shakespeare" , NaN
"vertriloquism","incest" , NaN
"vertriloquism","TV" , NaN
"vertriloquism","aliens" , NaN
"vertriloquism","demons" , NaN
"vertriloquism","slasher" , NaN
"vertriloquism","ogres" , NaN
"vertriloquism","Andrew Lloyd Weber" , NaN
"vertriloquism","real estate" , NaN
"vertriloquism","live action/animation" , NaN
"vertriloquism","gambling" , NaN
"vertriloquism","river" , NaN
"vertriloquism","dogs" , NaN
"vertriloquism","college" , NaN
"vertriloquism","Nick and Nora Charles" , NaN
"vertriloquism","bluegrass" , NaN
"vertriloquism","violence" , NaN
"vertriloquism","skiing" , NaN
"vertriloquism","California" , NaN
