" Tag 1 "," Tag 2 " , Similarity
"dystopia","plucky crew",2.7880929087757464
"dystopia","R",3.285365566137034
"dracula","R",3.7065790312133373
"dystopia","visually appealing",1.749199854809259
"dystopia","space",2.7880929087757464
"dystopia","Amazing Cinematography",2.03688192726104
"dystopia","totalitarian state",3.481240089335692
"dystopia","jailbreak",5.36480710781687
"dystopia","monty-python-related",4.4671844430141885
"dystopia","voyeurism",2.7880929087757464
"dracula","Apatow productions",3.7065790312133373
"dystopia","simulated reality",2.7880929087757464
"dystopia","food/cooking?",6.297723005132698
"dystopia","funny",4.269697449699962
"dystopia","knives",3.285365566137034
"dystopia","Post apocalyptic",12.78743874262937
"dystopia","revolutionary",3.285365566137034
"dystopia","genetics",3.828641396489095
"dracula","R:some graphic nudity",3.7065790312133373
"Karen Allen","Denholm Elliott",5.9397200231121134
"dystopia","activism",3.6018680771243066
"dracula","vampires",3.3440389678222067
"dystopia","TV",2.7880929087757464
"dystopia","aliens",7.1223288796132795
"dystopia","idealism",4.154403413160643
"dystopia","overpopulation",5.36480710781687
"Karen Allen","John Rhys-Davies",5.9397200231121134
"dystopia","setting:planet Mars",5.450425144745495
"dystopia","Uma Thurman",2.5257286443082556
"dystopia","hilarious",3.134175824175891
"dystopia","android(s)/cyborg(s)",11.534574049580133
"dystopia","violence",2.7880929087757464
"dystopia","gun fu",11.33976184596104
"dystopia","noirish",9.677847832828633
"Karen Allen","Alfred Molina",3.720516539057119
"dystopia","Based on a TV show",11.32693468480189
"dystopia","future dystopia",0.8690378470236094
"dystopia","subgenre:cop buddies",5.786897381366708
"dystopia","good soundtrack",1.749199854809259
"dystopia","adapted from:comic",5.786897381366708
"dystopia","beautiful effects",4.831385936339271
"dystopia","post-apocalyptic",39.77486129235265
"dystopia","literary adaptation",12.76683812945467
"dystopia","alternate world",0.8472978603872037
"dystopia","savior",5.14166355650266
"dystopia","cloning",6.010040932680917
"dystopia","propaganda",4.154403413160643
"dystopia","beaurocracy",3.9889840465642745
"dystopia","bullet ballet",2.7880929087757464
"dystopia","melanie griffith",4.276666119016055
"dystopia","surreal",27.350432045016323
"dracula","vampire",3.796024091565264
"dystopia","christianity",1.9459101490553135
"dystopia","related:The Matrix (1999)",19.193273607848433
"dracula","BREAKUPS AND DIVORCES",3.7065790312133373
"dystopia","London",6.07345847491278
"dystopia","Sourcelight Top Pick",3.285365566137034
"dystopia","psychiatry",6.010040932680917
"dystopia","Futuristmovies.com",-1.7047480922384253
"dystopia","like-i-like top pick",3.285365566137034
"dracula","Hawaii",3.7065790312133373
"dystopia","confrontational",0.8690378470236094
"dystopia","On TV all the time",-1.7047480922384253
"dystopia","drugs",2.7880929087757464
"dystopia","eugenics",10.784410140572492
"dystopia","DC Comics",3.285365566137034
"dystopia","Ridley Scott",3.9889840465642745
"dracula","stepbrother",3.7065790312133373
"dystopia","author:Ray Bradbury",6.297723005132698
"dystopia","nativity",1.9459101490553135
"dracula","terror",0.45198512374305727
"dystopia","social control",3.285365566137034
"dystopia","metaphorical",0.6931471805599453
"dracula","hotel",3.7065790312133373
"dystopia","hackers",4.805191319881446
"dystopia","Kafka-esque",6.703188113240863
