" Tag 1 "," Tag 2 " , Similarity
"Le Carre's Best Film","Le Carre's Best Film" , 0.19730379672781054
"Taye Diggs","Taye Diggs" , 0.25993019270997947
"Karen Allen","Karen Allen" , 0.10435208586039749
"alan moore","alan moore" , 2.341471707496172
"dracula","dracula" , 0.41880603139119726
"denzel's fine behind","denzel's fine behind" , 0.23025850929940456
"civilians at war","civilians at war" , 0.0351357679239017
"jew","jew" , 0.021885279518483795
"see also:Zathura","see also:Zathura" , 0.01486861989577772
"vertriloquism","vertriloquism" , 0.004817306569532737
"dystopia","dystopia" , 35.356349921631
"see also:Zathura","assasination plot" , 0.0012703799012293707
"dystopia","plucky crew" , 0.08229201752204597
"dystopia","visually appealing" , 0.1175468340040655
"denzel's fine behind","noir thriller" , 0.23025850929940456
"dystopia","hilarious" , 0.14135345625344836
"dystopia","Futuristmovies.com" , 0.14135345625344836
"dystopia","On TV all the time" , 0.14135345625344836
"dystopia","dystopian" , 0.07994511256220323
"dystopia","action groovy" , 0.14135345625344836
"dystopia","Marco Brambilla" , 0.14135345625344836
"SHRUNKEN PEOPLE","SHRUNKEN PEOPLE" , 0.01095323155925152
"jet","jet" , 0.05627245198417936
"Great score","Great score" , 0.2806512910869909
"assasination plot","assasination plot" , 0.007501370461014641
"angelic intervention?","angelic intervention?" , 0.005863650702962342
"Jeremy Leven","Jeremy Leven" , 0.10158137318541181
"well cast","well cast" , 0.48899844722933067
"Touching","Touching" , 0.3236858342660537
"train trip","train trip" , 0.025108351246229198
"silly and stupid","silly and stupid" , 0.268653736072302
"My movies","My movies" , 446.35332351201555
"jfd","jfd" , 0.23025850929940456
"My movies","funny" , 0.31971209988380234
"My movies","Children" , 0.09865189836390527
"My movies","DEMONIC POSSESSION" , 4.52373199175529
"My movies","cult film" , 4.52373199175529
"Lovely","Lovely" , 0.34103229008924796
"3","3" , 85.15411455963779
"2","2" , 31.22210114344089
"1","1" , 11.049036046708137
"2","coup" , 0.27031007207210955
"BOARDROOM JUNGLE","BOARDROOM JUNGLE" , 0.012767374914377091
"de-genderization","de-genderization" , 0.029518330498001344
"7","7" , 0.515020131978912
"6","6" , 0.515020131978912
"5","5" , 5.240232154947141
"4","4" , 20.78332028688785
"biography?","biography?" , 0.004132374206586585
"9","9" , 0.515020131978912
"8","8" , 0.515020131978912
"Fun fun","Fun fun" , 0.1190073039348287
">",">" , 80.47189562170495
"Lisa Eilbacher","Lisa Eilbacher" , 0.07686991273526293
"Michael Byrne","Michael Byrne" , 0.10830424696249145
"Michael Byrne","Bernard Hill" , 0.004955122365091824
"El dilema","El dilema" , 0.24413606414846883
"religion:Xian","religion:Xian" , 0.32975569160078044
"G","G" , 2.9205908941594685
"G","R" , 0.0021031585066771134
"ashton kutcher","ashton kutcher" , 0.4246727442219495
"piper perbo","piper perbo" , 0.2986265782046758
"M","M" , 0.04574495130179249
"M","Q" , 0.04574495130179249
"ignorance","ignorance" , 0.019759946203615816
"SUICIDE","SUICIDE" , 0.024997043017428357
"elephants","elephants" , 0.29671387224328594
"twee","twee" , 0.3267949828987178
"comes apart in last third","comes apart in last third" , 0.34657359027997264
"good lighting","good lighting" , 0.14497725893921062
"Decovny","Decovny" , 0.36477864056412496
"R","R" , 977.3397614778962
"swords","swords" , 0.5795392060254014
"R","Alan Ball" , 1.994554435781797
"Decovny","puns" , 0.36477864056412496
"R","Takeshi Kitano" , 0.3662040962227032
"box office flop","box office flop" , 0.02354105481273053
"munchausen syndrome","munchausen syndrome" , 0.017631979916636488
"Bataan Death March","Bataan Death March" , 0.02234223932447361
"pedophile","pedophile" , 0.02457243505696883
"Noel Coward","Noel Coward" , 0.09764466258941301
"f","f" , 20.85022498732252
"f","g" , 1.1728521367989186
"f","d" , 1.1728521367989186
"f","e" , 0.5864260683994593
"f","b" , 0.5864260683994593
"f","c" , 0.5864260683994593
"f","a" , 1.1728521367989186
"f","h" , 0.5864260683994593
"f","t" , 0.5864260683994593
"f","s" , 0.5864260683994593
"g","g" , 1.1728521367989186
"g","d" , 1.1728521367989186
"g","e" , 0.5864260683994593
"g","b" , 0.5864260683994593
"g","c" , 0.5864260683994593
"g","a" , 1.1728521367989186
"g","h" , 0.5864260683994593
"g","t" , 0.5864260683994593
"g","s" , 0.5864260683994593
"d","d" , 16.450140082773547
"d","e" , 0.5864260683994593
"d","b" , 0.5864260683994593
"d","c" , 0.5864260683994593
"d","a" , 1.1728521367989186
"d","h" , 0.5864260683994593
"d","t" , 0.5864260683994593
"d","s" , 0.5864260683994593
"e","e" , 0.5918396124044054
"e","b" , 0.29321303419972966
"e","c" , 0.29321303419972966
"e","a" , 0.5864260683994593
"e","h" , 0.29321303419972966
"e","t" , 0.29321303419972966
"e","s" , 0.29321303419972966
"b","b" , 0.5918396124044054
"b","c" , 0.29321303419972966
"b","a" , 0.5864260683994593
"b","h" , 0.29321303419972966
"b","t" , 0.29321303419972966
"b","s" , 0.29321303419972966
"love affair","love affair" , 0.035668874409852905
"c","c" , 0.5918396124044054
"c","a" , 0.5864260683994593
"c","h" , 0.29321303419972966
"c","t" , 0.29321303419972966
"c","s" , 0.29321303419972966
"Kadeem Hardison","Kadeem Hardison" , 0.024247407046906363
"unrealistic but well done","unrealistic but well done" , 0.12531140530851856
"a","a" , 0.2986265782046758
"Annie Potts","Annie Potts" , 0.03060980388046839
"wartime","wartime" , 1.3128574432201057
"wartime","crime" , 0.36477864056412496
"independent film","independent film" , 0.7624370011301331
"cool costume","cool costume" , 0.1190073039348287
"Battle between man and nature","Battle between man and nature" , 0.277987164150759
"of course you keep seeing dead people...they're all dying!","of course you keep seeing dead people...they're all dying!" , 0.027615916169265717
"quick cuts","quick cuts" , 0.04454559969845409
"quick cuts","illusionism" , 0.004102475016281482
"Random Sex","Random Sex" , 0.19730379672781054
"evil computer","evil computer" , 0.285337941019725
"illusionist","illusionist" , 0.10337976756136935
"transsexuals","transsexuals" , 0.04286104254041548
"transsexuals","guilt" , 3.800366713839885E-4
"Not bad sequel","Not bad sequel" , 0.11759979227495254
"Stephanie","Stephanie" , 0.06498254817749487
"sequelTo:Bruce Almighty","sequelTo:Bruce Almighty" , 0.004132374206586585
"illusionism","illusionism" , 0.05571768472102572
"squandered opportunity","squandered opportunity" , 0.34657359027997264
"diner","diner" , 0.1738457522207607
"photographer as protagonist","photographer as protagonist" , 0.007501370461014641
"jennifer beals","jennifer beals" , 0.04052002069347185
"magical aging/immortality","magical aging/immortality" , 0.0616086334354988
"magical aging/immortality","adapted from:game" , 0.0013028091511347627
"affectionate","affectionate" , 1.3170096858801286
"great cast excellent","great cast excellent" , 3.1383919232689217
"Tobey Maguire","Tobey Maguire" , 2.0581362239544454
"guilt","guilt" , 0.7342168988937283
"PG:violence","PG:violence" , 0.03520203909864107
"Teen","Teen" , 0.12531140530851856
"Spenser Tracy","Spenser Tracy" , 0.06253518140614021
"better than second","better than second" , 0.24413606414846883
"guilt","memory" , 0.17851484105136767
"adapted from:game","adapted from:game" , 0.912335687073817
"no way charles grodin","no way charles grodin" , 0.05877341700203275
"great book okay movie","great book okay movie" , 0.13241890959783106
"guilt","psychology" , 0.17851484105136767
"Takashi Miike","Takashi Miike" , 5.281091897536387
"a good comedy","a good comedy" , 0.16254790329532146
