" Tag 1 "," Tag 2 " , Similarity
"dracula","Karen Allen",8.540005021496218E-5
"see also:Zathura","SHRUNKEN PEOPLE",1.4746004065535612E-4
"see also:Zathura","jet",3.750417996261138E-5
"see also:Zathura","Great score",1.9443563444973016E-4
"see also:Zathura","assasination plot",1.2258311523220735E-4
"Le Carre's Best Film","denzel's fine behind",4.6654254970180674E-5
"NOT A MOVIE","jet",4.8222994740958184E-5
"Le Carre's Best Film","jew",3.7683233502810706E-5
"NOT A MOVIE","Great score",5.788684532865203E-5
"Le Carre's Best Film","SHRUNKEN PEOPLE",3.027388993800127E-5
"NOT A MOVIE","well cast",6.272701609605225E-5
"Le Carre's Best Film","jet",7.474179734356489E-5
"Le Carre's Best Film","Great score",1.997631318848048E-4
"Le Carre's Best Film","assasination plot",1.078125312954554E-4
"Le Carre's Best Film","Jeremy Leven",8.80497857662474E-5
"Le Carre's Best Film","train trip",1.766848923935427E-4
"denzel's fine behind","SHRUNKEN PEOPLE",4.8377996684724046E-5
"denzel's fine behind","train trip",4.7771308490014384E-5
"civilians at war","alan moore",2.940279768310634E-4
"civilians at war","Le Carre's Best Film",1.253041647502282E-4
"civilians at war","NOT A MOVIE",5.678451727196835E-5
"civilians at war","denzel's fine behind",4.8377996684724046E-5
"civilians at war","jew",0.0010086650017727154
"civilians at war","jet",7.818928077265162E-5
"civilians at war","Great score",2.852698594504897E-4
"alan moore","Le Carre's Best Film",5.543912889009483E-4
"alan moore","denzel's fine behind",3.647548954333625E-5
"Taye Diggs","My movies",6.827868225070982E-5
"alan moore","jew",6.951295750702664E-5
"alan moore","SHRUNKEN PEOPLE",5.469427037740776E-5
"alan moore","jet",5.438426648987605E-5
"civilians at war","Touching",2.516173993209645E-4
"alan moore","Great score",2.9603973155084834E-5
"civilians at war","train trip",1.0098889053703481E-4
"alan moore","assasination plot",3.647548954333625E-5
"alan moore","Jeremy Leven",2.6594116778732243E-5
"alan moore","well cast",1.3781492670367958E-4
"jew","jet",3.925197327358822E-5
"jew","Great score",4.891582386128206E-5
"see also:Zathura","My movies",0.001739571127715785
"see also:Zathura","jfd",3.830322765862073E-5
"dracula","dystopia",0.005074063215441218
"alan moore","train trip",2.1367040747541239E-4
"dracula","civilians at war",1.2195798233371556E-4
"dracula","alan moore",3.000845724478697E-4
"dracula","see also:Zathura",2.5882438898211025E-4
"dracula","Le Carre's Best Film",1.58831717036606E-4
"dracula","NOT A MOVIE",5.547500541850522E-5
"dracula","denzel's fine behind",5.547500541850522E-5
"dracula","SHRUNKEN PEOPLE",2.1416944663058148E-4
"dracula","jet",2.8713512351095504E-4
"dracula","Great score",9.205107905488975E-5
"dracula","assasination plot",1.612691172498978E-4
"dracula","Jeremy Leven",3.5763672473545256E-5
"dracula","well cast",4.3613699617298065E-5
"dracula","train trip",2.1196789418684086E-4
"NOT A MOVIE","My movies",0.0014972903080275376
"NOT A MOVIE","3",0.0011679447482724912
"NOT A MOVIE","2",2.3990872968583004E-4
"NOT A MOVIE","1",2.5885629622470315E-4
"NOT A MOVIE","de-genderization",1.118941505164511E-4
"see also:Zathura","3",0.001102483084018731
"NOT A MOVIE","6",4.3096163854410504E-5
"see also:Zathura","2",4.8589461880721365E-4
"see also:Zathura","1",1.2232493044893065E-4
"see also:Zathura","BOARDROOM JUNGLE",4.4756190640158414E-5
"denzel's fine behind","My movies",0.0025450843098314695
"NOT A MOVIE","4",1.6542309723705835E-4
"Karen Allen","dystopia",0.008322652123271431
"Karen Allen","civilians at war",4.693231167524662E-4
"Karen Allen","alan moore",2.5099869522167905E-4
"Karen Allen","see also:Zathura",2.874985792691143E-5
"NOT A MOVIE",">",2.260462739233291E-4
"NOT A MOVIE","El dilema",5.750635103935641E-5
"see also:Zathura","7",3.1134583476670866E-5
"NOT A MOVIE","religion:Xian",1.101908348349348E-4
"see also:Zathura","5",1.0897005232386267E-4
"NOT A MOVIE","SUICIDE",1.769194393960888E-4
"NOT A MOVIE","twee",5.301801032457969E-5
