" Tag 1 "," Tag 2 " , Similarity
"dracula","My movies",5.174834980872478
"dystopia","alan moore",4.371686905098204
"Karen Allen","1",4.436225426235776
"Karen Allen","Spielberg",4.436225426235776
"dracula","R",5.568739266579566
"dracula","Neil Jordan",5.174834980872478
"dystopia","My movies",10.545604579291759
"dystopia","3",15.166259044661054
"dystopia","2",8.783332642915148
"dystopia","de-genderization",5.534837714903885
"dystopia","4",4.541585941893602
"dystopia",">",4.541585941893602
"Karen Allen","snakes",4.436225426235776
"Karen Allen","steven spielberg",4.436225426235776
"dystopia","G",5.35251615810993
"dystopia","plucky crew",4.2446872143368966
"dystopia","R",37.59409528973539
"dystopia","Not bad sequel",5.677938558544558
"dystopia","thought-provoking",14.124060845273036
"dystopia","tough guy",5.325117183921816
"dystopia","Complex",4.6875398545166815
"dystopia","rewatchable",5.064834085658149
"dracula","Apatow productions",5.568739266579566
"dystopia","poor sequel",4.541585941893602
"dystopia","lacked substance",4.371686905098204
"Karen Allen","Saturn Award (Best Writing)",4.436225426235776
"Karen Allen","Denholm Elliott",4.436225426235776
"Karen Allen","TV",4.436225426235776
"Karen Allen","Oscar (Best Editing)",4.436225426235776
"dracula","want to own",5.174834980872478
"dystopia","visually appealing",9.906524620002088
"dracula","debased",5.174834980872478
"dystopia","space",15.275141930991385
"dystopia","good sci-fi flick",4.2446872143368966
"dracula","R:some graphic nudity",5.568739266579566
"dracula","book",5.174834980872478
"dystopia","Amazing Cinematography",5.844992643207725
"dystopia","Visual spectacle",7.32659718413194
"dracula","vampires",5.174834980872478
"dystopia","director overseeing in sky and moon",4.592229674712357
"dystopia","totalitarian state",4.605301756279709
"Karen Allen","John Rhys-Davies",4.436225426235776
"dystopia","END OF THE WORLD",4.414246519517
"dystopia","good but not great",4.371686905098204
"dystopia","premise was very comfortable",4.371686905098204
"dystopia","PG-13:some sexual references",4.2446872143368966
"dystopia","remake of a french film",4.566587244099019
"dystopia","jailbreak",7.1442756273379855
"dystopia","formulaic",5.35251615810993
"dystopia","subversive",16.5007539104208
"dystopia","gloomy",4.605301756279709
"dystopia","monty-python-related",9.254127098615701
"dystopia","voyeurism",4.592229674712357
"dystopia","visual",5.107393700076946
"Karen Allen","Alfred Molina",4.436225426235776
"dracula","My DVDs",5.174834980872478
"dystopia","Double Floor",4.084004832646423
"dystopia","taco bell",6.163446374326259
"dystopia","see also:The Truman Show",4.592229674712357
"dystopia","simulated reality",8.67623450735878
"dystopia","Sequel Bomb",4.541585941893602
"dystopia","ecology",5.35251615810993
"dracula","anne rice",5.174834980872478
"Karen Allen","pulp",4.436225426235776
"Karen Allen","TREASURE HUNTS",4.436225426235776
"Karen Allen","biblical",4.436225426235776
"Karen Allen","adventure",4.436225426235776
"dracula","Anne Rice",5.174834980872478
"dracula","oppl",5.568739266579566
"Karen Allen","World War II",4.436225426235776
"Karen Allen","fun",4.436225426235776
"dracula","book was better",5.174834980872478
"dracula","vampire",5.174834980872478
"Karen Allen","Oscar (Best Effects - Visual Effects)",4.436225426235776
"dracula","BREAKUPS AND DIVORCES",5.568739266579566
"dystopia","Wachowski Brothers",4.371686905098204
"dystopia","Jude Law",10.459909858186876
"dracula","interviews",5.174834980872478
"dystopia","The never ending weird movie",5.35251615810993
"dystopia","food/cooking?",5.272473450436394
"dystopia","boat",4.605301756279709
"dystopia","Carrie-Anne Moss",13.754963381335745
"dystopia","Brian Aldiss",5.35251615810993
"dystopia","Saturn Award (Best Supporting Actress)",9.22947859232151
"dystopia","Do kupienia",10.527351138982407
"dystopia","Firefly",4.2446872143368966
"dystopia","funny",6.163446374326259
"dystopia","Edward G. Robinson",5.9915961173996
"Karen Allen","AFI 100",4.436225426235776
"dracula","Hawaii",5.568739266579566
"Karen Allen","dvd",4.436225426235776
"dystopia","knives",4.371686905098204
"dystopia","clinical",5.534837714903885
"Karen Allen","Quotable",4.436225426235776
"dystopia","Artificial human",4.191102968202791
"dystopia","seen at the cinema",44.692354679786675
"dystopia","gyrocopter",5.247155642452104
"dystopia","5 stars",4.605301756279709
"dystopia","Post apocalyptic",60.08806599266721
"dracula","drugs",5.568739266579566
"Karen Allen","Oscar (Best Art Direction - Set Decoration)",4.436225426235776
"dracula","stepbrother",5.568739266579566
"Karen Allen","Adventure",4.436225426235776
"Karen Allen","light",4.436225426235776
"Karen Allen","Saturn Award (Best Director)",4.436225426235776
"Karen Allen","Indiana Jones",4.436225426235776
"Karen Allen","archaeology",4.436225426235776
"Karen Allen","Tumey's DVDs",4.436225426235776
"dystopia","best animated movie in years",5.35251615810993
"dystopia","Paul Verhoeven",11.212776273448444
"dystopia","revolutionary",8.913272846991806
"dystopia","Special",9.254127098615701
"dystopia","Oscar Nominee",4.984791377984613
"dystopia","soylent green",5.677938558544558
"dystopia","space western",4.2446872143368966
"dystopia","violently stupid",4.605301756279709
"dystopia","white",5.534837714903885
"dystopia","want to own",10.459909858186876
"dystopia","noir thriller",4.191102968202791
"Karen Allen","nazi",4.436225426235776
"Karen Allen","supernatural",4.436225426235776
"Karen Allen","romance",4.436225426235776
"Karen Allen","Harrison Ford",4.436225426235776
"Karen Allen","egypt",4.436225426235776
"dystopia","PRIVATE EYES",6.163446374326259
"dystopia","sick plot",4.605301756279709
"dystopia","tribal",5.247155642452104
"dystopia","great music",4.605301756279709
"dystopia","clowny clones",5.534837714903885
"dystopia","genetics",15.314179174737678
"dystopia","blaxploitation",4.191102968202791
"dystopia","Saturn Award (Best Writing)",14.929537210806899
"dystopia","plot point:bio-medical danger",4.566587244099019
"dracula","terror",5.174834980872478
"dracula","hotel",5.568739266579566
"dystopia","neo-noir",9.175894346187404
"dystopia","Interesting",4.566587244099019
"Karen Allen","Nazis",4.436225426235776
"dystopia","mayhem",4.414246519517
"dystopia","aviation",7.32659718413194
"dystopia","nocturnal",5.064834085658149
"dystopia","FANTASTIC",4.2446872143368966
