" Tag 1 "," Tag 2 " , Similarity
"Taye Diggs","Taye Diggs" , 2.254566162706048E-4
"NOT A MOVIE","NOT A MOVIE" , 0.001190721870838263
"NOT A MOVIE","jet" , 4.8222994740958184E-5
"NOT A MOVIE","Great score" , 5.788684532865203E-5
"Karen Allen","Karen Allen" , 0.005513217449873632
"Le Carre's Best Film","Le Carre's Best Film" , 0.004529539101236109
"NOT A MOVIE","well cast" , 6.272701609605225E-5
"Le Carre's Best Film","denzel's fine behind" , 4.6654254970180674E-5
"Le Carre's Best Film","jew" , 3.7683233502810706E-5
"Le Carre's Best Film","SHRUNKEN PEOPLE" , 3.027388993800127E-5
"Le Carre's Best Film","jet" , 7.474179734356489E-5
"Le Carre's Best Film","Great score" , 1.997631318848048E-4
"Le Carre's Best Film","assasination plot" , 1.078125312954554E-4
"Le Carre's Best Film","Jeremy Leven" , 8.80497857662474E-5
"Le Carre's Best Film","train trip" , 1.2348410016609925E-4
"jew","jew" , 0.0021035029029895106
"jew","jet" , 3.925197327358822E-5
"dracula","dracula" , 0.005368657918430629
"see also:Zathura","see also:Zathura" , 0.0018377023001182177
"denzel's fine behind","denzel's fine behind" , 0.0012931707637082702
"denzel's fine behind","SHRUNKEN PEOPLE" , 4.8377996684724046E-5
"dracula","Karen Allen" , 8.540005021496218E-5
"see also:Zathura","SHRUNKEN PEOPLE" , 8.982238516784854E-5
"see also:Zathura","jet" , 3.750417996261138E-5
"see also:Zathura","Great score" , 5.331771317116857E-5
"denzel's fine behind","train trip" , 4.7771308490014384E-5
"see also:Zathura","assasination plot" , 1.2258311523220735E-4
"civilians at war","civilians at war" , 0.01600346779934808
"civilians at war","alan moore" , 2.940279768310634E-4
"jew","Great score" , 4.891582386128206E-5
"alan moore","alan moore" , 0.011769891859704085
"civilians at war","Le Carre's Best Film" , 1.253041647502282E-4
"alan moore","Le Carre's Best Film" , 3.9735921136962017E-4
"civilians at war","NOT A MOVIE" , 5.678451727196835E-5
"civilians at war","denzel's fine behind" , 4.8377996684724046E-5
"civilians at war","jew" , 9.377225453872142E-4
"alan moore","denzel's fine behind" , 3.647548954333625E-5
"alan moore","jew" , 6.951295750702664E-5
"alan moore","SHRUNKEN PEOPLE" , 2.009512451115685E-5
"alan moore","jet" , 1.9940122567390996E-5
"civilians at war","jet" , 7.818928077265162E-5
"civilians at war","Great score" , 2.852698594504897E-4
"civilians at war","Touching" , 4.840032847514706E-5
"alan moore","Great score" , 2.9603973155084834E-5
"alan moore","assasination plot" , 3.647548954333625E-5
"civilians at war","train trip" , 1.0098889053703481E-4
"alan moore","Jeremy Leven" , 2.6594116778732243E-5
"jew","My movies" , 0.007574898099304963
"jew","Lovely" , 5.31579781624765E-5
"Taye Diggs","My movies" , 6.827868225070982E-5
"Karen Allen","dystopia" , 0.006254986365844173
"jew","3" , 0.004593720638672555
"Karen Allen","civilians at war" , 4.179509918247543E-4
"alan moore","well cast" , 1.3781492670367958E-4
"see also:Zathura","My movies" , 7.730565628269016E-4
"NOT A MOVIE","My movies" , 0.0014232218660134382
"Karen Allen","alan moore" , 2.0977717353473727E-4
"see also:Zathura","jfd" , 3.830322765862073E-5
"Karen Allen","see also:Zathura" , 2.874985792691143E-5
"Karen Allen","Le Carre's Best Film" , 2.1364565958535463E-5
"Karen Allen","denzel's fine behind" , 3.946867270525823E-5
"Karen Allen","jew" , 3.5599633375819965E-4
"Karen Allen","SHRUNKEN PEOPLE" , 2.51006899976204E-4
"Karen Allen","jet" , 2.500768883136089E-4
"Karen Allen","Great score" , 3.259715631700682E-5
"Karen Allen","Jeremy Leven" , 7.367862123640251E-5
"Karen Allen","train trip" , 5.946726031183241E-5
"Karen Allen","silly and stupid" , 7.426809344746542E-5
"alan moore","train trip" , 1.2498279309564446E-4
"denzel's fine behind","My movies" , 0.0025450843098314695
"NOT A MOVIE","3" , 0.0011679447482724912
"denzel's fine behind","3" , 0.0028191709195433475
"NOT A MOVIE","2" , 2.3990872968583004E-4
"NOT A MOVIE","1" , 2.5885629622470315E-4
"NOT A MOVIE","de-genderization" , 1.118941505164511E-4
"NOT A MOVIE","6" , 4.3096163854410504E-5
"NOT A MOVIE","4" , 1.6542309723705835E-4
"jew","2" , 0.0019878043351685736
"dracula","dystopia" , 0.003417985114803717
"dracula","civilians at war" , 1.2195798233371556E-4
"jew","1" , 9.636354595569804E-4
"jew","BOARDROOM JUNGLE" , 4.6503983951135256E-5
"dracula","alan moore" , 3.000845724478697E-4
"jew","de-genderization" , 4.7470434255916746E-5
"jew","7" , 1.8954559257096707E-4
